compound,concentration_band,is_control,true_name,pred_name,experimental_run_id,proba_Water,proba_GABAAR_Antagonist,proba_NMDAR_Activation,proba_AChE_Inhibitor_Reversible,proba_mAChR_Agonist_NonSelective,dataset_split
Bemegride,high,False,GABAAR_Antagonist,NMDAR_Activation,Bemegride run 1 1 June 17,0.0542268343269825,0.11852121353149414,0.5514587163925171,0.03194230794906616,0.24385087192058563,holdout
Bemegride,high,False,GABAAR_Antagonist,Water,Bemegride run 1 1 June 17,0.301533579826355,0.19237108528614044,0.09389007836580276,0.17741474509239197,0.23479050397872925,holdout
Bemegride,high,False,GABAAR_Antagonist,mAChR_Agonist_NonSelective,Bemegride run 1 1 June 17,0.36098262667655945,0.03386520966887474,0.044054869562387466,0.09378040581941605,0.4673169255256653,holdout
Bemegride,mid,False,GABAAR_Antagonist,Water,Bemegride run 1 1 June 17,0.45627662539482117,0.22125503420829773,0.04673904553055763,0.16691163182258606,0.10881760716438293,holdout
Bemegride,mid,False,GABAAR_Antagonist,mAChR_Agonist_NonSelective,Bemegride run 1 1 June 17,0.09777301549911499,0.06073391065001488,0.37727662920951843,0.07827863097190857,0.38593780994415283,holdout
Bemegride,mid,False,GABAAR_Antagonist,Water,Bemegride run 2 7 6 17,0.4762117862701416,0.12635482847690582,0.04080095514655113,0.20435677468776703,0.15227559208869934,holdout
Bicuculline,high,False,GABAAR_Antagonist,GABAAR_Antagonist,Bicuculline run 2 25 5 17,0.3381124436855316,0.6199332475662231,0.0219127144664526,0.01682136207818985,0.0032202163711190224,holdout
Bicuculline,high,False,GABAAR_Antagonist,GABAAR_Antagonist,Bicuculline run 2 25 5 17,0.368171364068985,0.5905821323394775,0.018333250656723976,0.018711941316723824,0.004201322793960571,holdout
Bicuculline,mid,False,GABAAR_Antagonist,GABAAR_Antagonist,Bicuculline run 2 25 5 17,0.2773132026195526,0.6610268354415894,0.03417743742465973,0.021360259503126144,0.006122436374425888,holdout
Bicuculline,control,True,Water,GABAAR_Antagonist,Bicuculline run 1 24 5 17,0.34368520975112915,0.6171415448188782,0.019138719886541367,0.016971126198768616,0.0030634072609245777,holdout
Bicuculline,control,True,Water,GABAAR_Antagonist,Bicuculline run 2 25 5 17,0.33562731742858887,0.6227955222129822,0.020458819344639778,0.01760612055659294,0.0035122132394462824,holdout
Gabazine,high,False,GABAAR_Antagonist,Water,Gabazine Run 1 7 July 2017,0.4630216658115387,0.15868698060512543,0.0474911592900753,0.20100802183151245,0.1297922134399414,holdout
Gabazine,mid,False,GABAAR_Antagonist,Water,Gabazine Run 1 7 July 2017,0.4800967872142792,0.12288103252649307,0.04031601548194885,0.20253126323223114,0.15417495369911194,holdout
Gabazine,mid,False,GABAAR_Antagonist,Water,Gabazine Run 3 14 jUly 2017,0.4465939402580261,0.09370763599872589,0.04951540008187294,0.14346198737621307,0.2667209804058075,holdout
Gabazine,control,True,Water,Water,Gabazine Run 3 14 jUly 2017,0.45209693908691406,0.13468465209007263,0.04964223504066467,0.20923471450805664,0.1543414443731308,holdout
Gabazine,control,True,Water,Water,Gabazine Run 3 14 jUly 2017,0.4582821726799011,0.13540984690189362,0.05120059475302696,0.2078610211610794,0.1472463607788086,holdout
(RS)-(Tetrazol-5-yl)glycine,high,False,NMDAR_Activation,NMDAR_Activation,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,0.030344421043992043,0.014678520150482655,0.6499707102775574,0.0183795765042305,0.2866268455982208,holdout
(RS)-(Tetrazol-5-yl)glycine,high,False,NMDAR_Activation,NMDAR_Activation,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,0.02740051969885826,0.015016451478004456,0.890710711479187,0.01019968744367361,0.05667266994714737,holdout
(RS)-(Tetrazol-5-yl)glycine,mid,False,NMDAR_Activation,NMDAR_Activation,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,0.035774994641542435,0.058605093508958817,0.7917205691337585,0.025925321504473686,0.08797402679920197,holdout
(RS)-(Tetrazol-5-yl)glycine,control,True,Water,Water,Rs tetrazol Glycine (RsT) Run 1 21 aug 2018,0.48273614048957825,0.1144198328256607,0.03980740159749985,0.2047409564256668,0.158295676112175,holdout
Cis-ACPD,high,False,NMDAR_Activation,Water,CisACPD Run 1 21 May 2018,0.4925045967102051,0.11374302953481674,0.03768330067396164,0.19865505397319794,0.15741392970085144,holdout
Cis-ACPD,high,False,NMDAR_Activation,NMDAR_Activation,CisACPD Run 2 4 June 2018,0.11614515632390976,0.22844909131526947,0.502428412437439,0.10869312286376953,0.04428425803780556,holdout
Cis-ACPD,mid,False,NMDAR_Activation,Water,CisACPD Run 2 4 June 2018,0.4953182637691498,0.1134132444858551,0.037387069314718246,0.1965014785528183,0.1573798954486847,holdout
Cis-ACPD,control,True,Water,Water,CisACPD Run 1 21 May 2018,0.45288363099098206,0.06163264065980911,0.04485274851322174,0.129253089427948,0.31137794256210327,holdout
Cis-ACPD,control,True,Water,Water,CisACPD Run 2 4 June 2018,0.4884120523929596,0.1171872690320015,0.038009949028491974,0.19943733513355255,0.15695339441299438,holdout
Cis-ACPD,control,True,Water,Water,CisACPD Run 2 4 June 2018,0.48467016220092773,0.1041981652379036,0.03833191096782684,0.19462771713733673,0.1781720370054245,holdout
N-methyl-D-aspartate,high,False,NMDAR_Activation,NMDAR_Activation,NMDA 16 Dec 2016,0.02267572470009327,0.16729304194450378,0.8055046796798706,0.0035201620776206255,0.0010064112721011043,holdout
N-methyl-D-aspartate,high,False,NMDAR_Activation,NMDAR_Activation,NMDA 16 Dec 2016,0.02357662469148636,0.06754082441329956,0.8989084959030151,0.005630254279822111,0.004343981388956308,holdout
N-methyl-D-aspartate,high,False,NMDAR_Activation,NMDAR_Activation,NMDA 16 Jan 2017,0.0202071201056242,0.11942137777805328,0.8416761159896851,0.0075021483935415745,0.011193151585757732,holdout
N-methyl-D-aspartate,mid,False,NMDAR_Activation,NMDAR_Activation,NMDA 16 Dec 2016,0.030706871300935745,0.07125284522771835,0.8160620331764221,0.015710121020674706,0.066268190741539,holdout
N-methyl-D-aspartate,control,True,Water,Water,NMDA 16 Dec 2016,0.4914225935935974,0.13878802955150604,0.04009905830025673,0.19359596073627472,0.13609443604946136,holdout
N-methyl-D-aspartate,control,True,Water,Water,NMDA 16 Jan 2017,0.483856201171875,0.17411483824253082,0.039966147392988205,0.1806284338235855,0.12143439799547195,holdout
N-methyl-D-aspartate,control,True,Water,Water,NMDA 16 Jan 2017,0.4654395282268524,0.21311885118484497,0.04466308653354645,0.17217254638671875,0.10460600256919861,holdout
Donepezil,high,False,AChE_Inhibitor_Reversible,Water,Donepezil 8 Dec 2016,0.4304776191711426,0.24372464418411255,0.05092427879571915,0.17029425501823425,0.10457924753427505,holdout
Donepezil,high,False,AChE_Inhibitor_Reversible,Water,Donepezil 8 Dec 2016,0.4406789541244507,0.1352258175611496,0.0514143742620945,0.22452743351459503,0.1481533646583557,holdout
Donepezil,mid,False,AChE_Inhibitor_Reversible,Water,Donepezil 8 Dec 2016,0.47523239254951477,0.12489094585180283,0.0409298911690712,0.2097078561782837,0.14923886954784393,holdout
Donepezil,mid,False,AChE_Inhibitor_Reversible,mAChR_Agonist_NonSelective,Donepezil 9 Dec 2016,0.184334859251976,0.08884574472904205,0.15418438613414764,0.096247099339962,0.47638794779777527,holdout
Galantamine,high,False,AChE_Inhibitor_Reversible,mAChR_Agonist_NonSelective,Galantamine Run 1 28 sept 2018,0.2690016031265259,0.05131705477833748,0.07964999228715897,0.12168657034635544,0.47834476828575134,holdout
Galantamine,mid,False,AChE_Inhibitor_Reversible,Water,Galantamine Run 1 28 sept 2018,0.4423840343952179,0.04739219695329666,0.04139672964811325,0.12095743417739868,0.3478696346282959,holdout
Galantamine,mid,False,AChE_Inhibitor_Reversible,Water,Galantamine Run 2 1 Oct 2018,0.43472766876220703,0.06620412319898605,0.04573184996843338,0.13723833858966827,0.31609800457954407,holdout
Galantamine,mid,False,AChE_Inhibitor_Reversible,Water,Galantamine Run 2 1 Oct 2018,0.49134671688079834,0.11719547212123871,0.037983886897563934,0.20059548318386078,0.152878537774086,holdout
Galantamine,control,True,Water,Water,Galantamine Run 1 28 sept 2018,0.4416274428367615,0.13845546543598175,0.05310814827680588,0.21906378865242004,0.14774516224861145,holdout
Phenserine,high,False,AChE_Inhibitor_Reversible,Water,Phenserine Run 2 13 July 2018 not processed yet,0.4461086690425873,0.04462505877017975,0.03995557129383087,0.11303868144750595,0.35627198219299316,holdout
Phenserine,high,False,AChE_Inhibitor_Reversible,Water,Phenserine Run 2 13 July 2018 not processed yet,0.482822984457016,0.11798033118247986,0.039791274815797806,0.2043638378381729,0.15504157543182373,holdout
Phenserine,high,False,AChE_Inhibitor_Reversible,Water,Phenserine Run 2 13 July 2018 not processed yet,0.49243399500846863,0.11089429259300232,0.03725268691778183,0.1990451067686081,0.16037391126155853,holdout
Phenserine,mid,False,AChE_Inhibitor_Reversible,Water,Phenserine Run 1 9 July 2018 not processed yet,0.4921129047870636,0.11538395285606384,0.03769955039024353,0.19921651482582092,0.15558704733848572,holdout
Phenserine,control,True,Water,Water,Phenserine Run 1 9 July 2018 not processed yet,0.4592611491680145,0.13228370249271393,0.048761092126369476,0.20890478789806366,0.1507893204689026,holdout
Phenserine,control,True,Water,Water,Phenserine Run 1 9 July 2018 not processed yet,0.49293190240859985,0.11978239566087723,0.03746752068400383,0.19914531707763672,0.1506728231906891,holdout
Phenserine,control,True,Water,Water,Phenserine Run 1 9 July 2018 not processed yet,0.48912322521209717,0.12117860466241837,0.038257330656051636,0.19813275337219238,0.15330804884433746,holdout
Phenserine,control,True,Water,Water,Phenserine Run 2 13 July 2018 not processed yet,0.4816628694534302,0.11493407189846039,0.03885732963681221,0.2047431617975235,0.15980257093906403,holdout
Phenserine,control,True,Water,Water,Phenserine Run 2 13 July 2018 not processed yet,0.48557424545288086,0.12659338116645813,0.03937407210469246,0.1972721815109253,0.15118612349033356,holdout
Bethanechol,high,False,mAChR_Agonist_NonSelective,Water,Bethanechol Run 1 23 April 2018,0.4962483048439026,0.11321962624788284,0.03705247864127159,0.19395849108695984,0.1595211625099182,holdout
Bethanechol,high,False,mAChR_Agonist_NonSelective,Water,Bethanechol Run 2 30 APril 2018,0.4835796058177948,0.1136254146695137,0.03974391520023346,0.20316055417060852,0.1598905622959137,holdout
Bethanechol,mid,False,mAChR_Agonist_NonSelective,Water,Bethanechol Run 1 23 April 2018,0.49455052614212036,0.11228371411561966,0.038044992834329605,0.19857455790042877,0.15654627978801727,holdout
Bethanechol,control,True,Water,Water,Bethanechol Run 1 23 April 2018,0.4645005464553833,0.12327329814434052,0.044414933770895004,0.21198971569538116,0.1558215320110321,holdout
Bethanechol,control,True,Water,Water,Bethanechol Run 2 30 APril 2018,0.45619240403175354,0.12640255689620972,0.04585099592804909,0.21812036633491516,0.15343362092971802,holdout
Muscarine,mid,False,mAChR_Agonist_NonSelective,Water,Muscarine Run 1 13 April 2018,0.4335854947566986,0.043404724448919296,0.03960198163986206,0.11172457784414291,0.371683269739151,holdout
Muscarine,control,True,Water,Water,Muscarine Run 1 13 April 2018,0.45668068528175354,0.1299431174993515,0.0467848964035511,0.21659210324287415,0.1499992460012436,holdout
Muscarine,control,True,Water,Water,Muscarine Run 1 13 April 2018,0.4618626832962036,0.06910338252782822,0.04095926135778427,0.14560440182685852,0.28247031569480896,holdout
Muscarine,control,True,Water,Water,Muscarine Run 2 16 April 2018,0.4669294059276581,0.12619443237781525,0.0439380519092083,0.21178585290908813,0.15115229785442352,holdout
Pilocarpine,high,False,mAChR_Agonist_NonSelective,Water,Pilocarpine_Round2_0.4OD,0.2928781509399414,0.19620861113071442,0.1275111734867096,0.2566950023174286,0.12670709192752838,holdout
Pilocarpine,high,False,mAChR_Agonist_NonSelective,Water,Pilocarpine ReRun 2 12 Feb 2019,0.4936264455318451,0.11901827156543732,0.03702574223279953,0.19707784056663513,0.1532517522573471,holdout
Pilocarpine,high,False,mAChR_Agonist_NonSelective,Water,Pilocarpine ReRun 2 12 Feb 2019,0.4354928731918335,0.045659370720386505,0.04260455071926117,0.1139930784702301,0.3622501790523529,holdout
Pilocarpine,high,False,mAChR_Agonist_NonSelective,Water,Pilocarpine repeat run 1 12 Feb 2019,0.47575753927230835,0.12193601578474045,0.04062663018703461,0.19849327206611633,0.16318656504154205,holdout
Pilocarpine,mid,False,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine_Round2_0.4OD,0.11593202501535416,0.018623560667037964,0.13063767552375793,0.04671979695558548,0.688086986541748,holdout
Pilocarpine,mid,False,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine ReRun 2 12 Feb 2019,0.3139776587486267,0.04586481302976608,0.059953611344099045,0.09382327646017075,0.4863806664943695,holdout
Pilocarpine,mid,False,mAChR_Agonist_NonSelective,Water,Pilocarpine ReRun 2 12 Feb 2019,0.4745555520057678,0.1424500197172165,0.04035346955060959,0.1887878179550171,0.1538531631231308,holdout
Pilocarpine,mid,False,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine ReRun 2 12 Feb 2019,0.41319698095321655,0.03639671206474304,0.03849413990974426,0.0961337611079216,0.41577836871147156,holdout
Pilocarpine,control,True,Water,Water,Pilocarpine ReRun 2 12 Feb 2019,0.4783698618412018,0.12580342590808868,0.0388668067753315,0.20343932509422302,0.15352050960063934,holdout
Pilocarpine,control,True,Water,Water,Pilocarpine repeat run 1 12 Feb 2019,0.49016737937927246,0.1375451236963272,0.038437023758888245,0.19464047253131866,0.13920997083187103,holdout
Pilocarpine,control,True,Water,Water,Pilocarpine repeat run 1 12 Feb 2019,0.48509645462036133,0.12306874245405197,0.039857760071754456,0.20287929475307465,0.1490977257490158,holdout
